序号,等级,词语,拼音,词性
1,1,爱,ai,动
2,1,八,bā,数
3,1,爸爸,bàba,名
4,1,吧,ba,助
5,1,白天,báitiān,名
6,1,百,bǎi,数
7,1,半,bàn,数、(副)
8,1,包子,bāozi,名
9,1,杯子,bēizi,名
10,1,本1,bēn,量
11,1,边,biān,名、后缀
12,1,病,bìng,名、动
13,1,不,bù,副
14,1,不客气,bú kèqi,
15,1,不要,búyào,副
16,1,菜,cài,名
17,1,茶,chá,名
18,1,唱,chàng,动
19,1,超市,chāoshì,名
20,1,车,chē,名
21,1,吃,chī,动
22,1,出租车,chūzūchē,名
23,1,穿,chuān,动
24,1,打电话,dǎ diànhuà,
25,1,大,dà,形
26,1,大家,dàjiā,代
27,1,大学,dàxué,名
28,1,大学生,dàxuéshēng,名
29,1,到,dào,动
30,1,的,de,助
31,1,第,dì,前缀
32,1,弟弟,dìdi,名
33,1,点1,diǎn,量、(名)
34,1,店,diàn,名
35,1,电话,diànhuà,名
36,1,电脑,diànnǎo,名
37,1,电视,diànshì,名
38,1,电影,diànyǐng,名
39,1,电影院,diànyīngyuàn,名
40,1,东西,dōngxi,名
41,1,都,dōu,副
42,1,读,dú,动
43,1,读书,dúshū,动
44,1,对,duì,形、介、（动、量）
45,1,对不起,duìbuqǐ,动
46,1,多,duō,形、动、代、（数、副）
47,1,多少,duōshào,代
48,1,儿子,érzi,名
49,1,二,èr,数
50,1,饭,fàn,名
51,1,饭店,fàndiàn,名
52,1,房间,fángjiān,名
53,1,非常,fēicháng,副
54,1,飞机,fēijī,名
55,1,分,fēn,量、（动、名）
56,1,分钟,fēnzhōng,量
57,1,高兴,gāoxìng,形
58,1,歌,gē,名
59,1,哥哥,gēge,名
60,1,个,gè,量
61,1,给,gěi,动、（介）
62,1,公司,gōngsī,名
63,1,工作,gōngzuò,动、名
64,1,狗,gǒu,名
65,1,贵,guì,形
66,1,国,guó,名
67,1,还,hái,副
68,1,孩子,háizi,名
69,1,汉语,Hànyǔ,名
70,1,汉字,Hànzì,名
71,1,好,hǎo,形、（副）、（动）
72,1,好吃,hǎochī,形
73,1,好看,hǎokàn,形
74,1,好听,hǎotīng,形
75,1,好玩儿,hǎowánr,形
76,1,号,hào,名、量
77,1,喝,hē,动
78,1,和1,hé,介、连
79,1,很,hěn,副
80,1,后,hòu,名
81,1,回,huí,动、（量）
82,1,会1,huì,动
83,1,火车,huǒchē,名
84,1,鸡蛋,jīdàn,名
85,1,几,jǐ,代、数
86,1,家,jiā,名、量、（后缀）
87,1,家人,jiārén,名
88,1,见,jiàn,动
89,1,件,jiàn,量
90,1,饺子,jiǎozi,名
91,1,叫,jiào,动、（介）
92,1,姐姐,jiějie,名
93,1,今年,jīnnián,名
94,1,今天,jīntiān,名
95,1,九,jiǔ,数
96,1,觉得,juéde,动
97,1,开,kāi,动
98,1,开车,kāichē,动
99,1,看,kàn,动
100,1,看病,kànbìng,动
101,1,看见,kànjiàn,动
102,1,可以,kěyǐ,动、形
103,1,课,kè,名
104,1,口,kǒu,名、量
105,1,块,kuài,量
106,1,来,lái,动
107,1,老师,lǎoshī,名
108,1,了,le,助
109,1,冷,lěng,形
110,1,里,lǐ,名
111,1,两,liǎng,数
112,1,零,líng,数
113,1,六,liù,数
114,1,妈妈,māmā,名
115,1,吗,ma,助
116,1,买,mǎi,动
117,1,卖,mài,动
118,1,忙,máng,形、动
119,1,猫,māo,名
120,1,没关系,méiguānxi,
121,1,没事,méishì,动
122,1,没有,méiyou,动、副
123,1,妹妹,mèimei,名
124,1,们,men,后缀
125,1,米饭,mǐfàn,名
